,id,full_name,first_name,last_name,is_active
2697,1628997,Caleb Martin,Caleb,Martin,1
2698,201858,Cartier Martin,Cartier,Martin,0
2699,1628998,Cody Martin,Cody,Martin,1
2700,733,Cuonzo Martin,Cuonzo,Martin,0
2701,239,Darrick Martin,Darrick,Martin,0
2702,77473,Don Martin,Don,Martin,0
2703,77471,Donald Martin,Donald,Martin,0
2704,77472,Fernando Martin,Fernando,Martin,0
2705,1626185,Jarell Martin,Jarell,Martin,0
2706,77474,Jeff Martin,Jeff,Martin,0
2707,1629725,Jeremiah Martin,Jeremiah,Martin,0
2708,1629103,Kelan Martin,Kelan,Martin,0
2709,2030,Kenyon Martin,Kenyon,Martin,0
2710,2755,Kevin Martin,Kevin,Martin,0
2711,77475,Larue Martin,Larue,Martin,0
2712,77476,Mo Martin,Mo,Martin,0
2713,77477,Phil Martin,Phil,Martin,0
2714,77479,Ronald Martin,Ronald,Martin,0
2715,77480,Slater Martin,Slater,Martin,0
2716,1631213,Tyrese Martin,Tyrese,Martin,1
2717,1630231,Kenyon Martin Jr.,Kenyon,Martin Jr.,1
2718,469,Jamal Mashburn,Jamal,Mashburn,0
2719,77482,Al Masino,Al,Masino,0
2720,193,Anthony Mason,Anthony,Mason,0
2721,2046,Desmond Mason,Desmond,Mason,0
2722,1628412,Frank Mason III,Frank,Mason III,0
2723,2427,Roger Mason Jr.,Roger,Mason Jr.,0
2724,763,Tony Massenburg,Tony,Massenburg,0
2725,77483,Eddie Mast,Eddie,Mast,0
2726,1628999,Yante Maten,Yante,Maten,0
2727,1629726,Garrison Mathews,Garrison,Mathews,1
2728,1628493,Mangok Mathiang,Mangok,Mathiang,0
2729,1629751,Dakota Mathias,Dakota,Mathias,0
2730,1631097,Bennedict Mathurin,Bennedict,Mathurin,1
2731,77484,Wes Matthews,Wes,Matthews,0
2732,202083,Wesley Matthews,Wesley,Matthews,1
2733,77485,Ariel Maughan,Ariel,Maughan,0
2734,77486,Marlon Maxey,Marlon,Maxey,0
2735,1630178,Tyrese Maxey,Tyrese,Maxey,1
2736,101131,Jason Maxiell,Jason,Maxiell,0
2737,77487,Cedric Maxwell,Cedric,Maxwell,0
2738,137,Vernon Maxwell,Vernon,Maxwell,0
2739,77489,Don May,Don,May,0
2740,77490,Scott May,Scott,May,0
2741,101118,Sean May,Sean,May,0
2742,195,Lee Mayberry,Lee,Mayberry,0
2743,77492,Clyde Mayes,Clyde,Mayes,0
